,id,carat,cut,color,clarity,depth,price
70,70,0.32,4,5,3,62.7,6.554
71,71,0.51,4,3,4,62.4,7.432
72,72,0.76,4,6,4,61.7,8.384
73,73,0.44,3,3,2,61.0,6.898
74,74,0.72,4,6,4,61.4,8.195
75,75,1.03,4,6,1,62.8,8.469
76,76,0.6,3,3,2,61.8,7.406
77,77,0.7,2,3,2,63.0,7.73
78,78,1.1,2,3,6,61.4,9.133
79,79,0.3,4,4,4,61.3,6.594
81,81,1.13,3,3,6,59.3,9.09
82,82,0.56,4,6,2,62.3,7.364
83,83,0.77,3,1,4,62.6,7.834
84,84,0.51,3,1,3,62.9,7.072
86,86,0.36,4,3,6,62.8,6.959
87,87,1.26,4,5,5,61.1,9.568
88,88,0.33,3,2,7,61.7,6.918
89,89,0.51,2,1,2,63.5,6.974
90,90,0.31,3,4,3,62.9,6.687
91,91,0.71,2,2,2,60.7,7.726
92,92,0.35,3,5,2,61.1,6.669
93,93,0.31,4,3,6,61.4,6.649
94,94,0.3,3,1,4,61.6,6.41
95,95,0.54,4,6,3,61.8,7.621
96,96,0.38,4,1,3,61.4,6.515
97,97,1.08,2,4,6,61.0,9.231
98,98,1.28,4,2,6,61.7,9.078
99,99,1.08,4,3,2,61.8,8.585
100,100,1.5,3,0,4,62.8,9.131
101,101,0.39,2,6,5,61.4,6.962
102,102,1.01,2,2,2,62.6,8.382
103,103,0.9,3,6,2,62.2,8.436
104,104,1.84,3,2,2,59.7,9.54
105,105,0.79,3,0,2,59.1,7.696
106,106,1.61,1,5,1,60.9,9.287
107,107,1.12,3,3,7,60.9,9.119
108,108,0.31,4,4,5,61.2,6.574
109,109,0.31,4,3,4,61.0,6.465
110,110,1.22,3,1,3,62.9,8.639
111,111,0.7,1,4,3,62.9,7.86
112,112,1.07,3,4,1,61.8,8.443
113,113,0.33,4,3,4,61.5,6.55
114,114,0.4,3,6,5,60.7,7.188
115,115,0.5,1,4,3,63.3,7.27
117,117,0.56,4,4,1,61.4,7.154
118,118,0.41,4,6,3,59.7,7.071
120,120,0.54,4,5,4,62.6,7.508
121,121,0.3,4,4,3,61.1,6.654
122,122,0.9,3,3,2,62.9,8.236
123,123,0.61,4,1,1,61.1,7.245
124,124,1.26,2,2,1,62.2,8.655
125,125,1.22,3,2,4,58.9,8.893
126,126,0.4,3,5,3,59.3,6.816
127,127,0.34,4,5,1,61.3,6.118
128,128,1.0,3,2,3,60.4,8.514
129,129,1.58,4,5,2,61.0,9.515
131,131,0.32,4,6,3,61.0,6.631
132,132,2.0,2,0,3,60.8,9.476
133,133,1.27,4,5,4,61.8,9.379
134,134,1.5,2,4,2,63.4,9.302
135,135,0.5,4,4,1,60.9,7.093
136,136,1.51,4,1,2,61.1,9.029
137,137,0.62,3,3,3,62.2,7.508
138,138,1.68,3,0,1,59.2,8.943
139,139,0.52,4,3,4,61.6,7.451
140,140,1.01,2,5,2,63.4,8.518
141,141,1.28,4,3,1,61.4,8.681
142,142,0.5,4,2,3,61.7,7.394
143,143,0.66,2,3,5,60.5,7.701
144,144,1.01,2,4,3,62.7,8.726
145,145,0.31,4,3,3,62.0,6.299
146,146,0.31,4,4,7,60.2,7.052
147,147,0.58,4,4,6,61.6,7.911
148,148,0.4,2,4,2,63.1,6.782
149,149,0.9,4,3,4,62.1,8.62
150,150,1.5,3,4,2,62.1,9.079
151,151,1.17,3,6,4,61.7,9.204
152,152,1.5,2,6,4,61.2,9.705
153,153,0.9,2,5,2,61.8,8.307
155,155,0.71,4,6,3,60.4,8.05
156,156,1.56,4,0,3,62.4,8.963
157,157,0.71,2,3,3,63.1,7.853
158,158,0.52,2,3,6,61.1,7.656
159,159,0.71,2,0,4,64.1,7.597
160,160,1.11,4,1,2,61.9,8.457
161,161,1.27,3,1,2,62.3,8.646
162,162,0.24,2,6,2,63.1,6.163
163,163,1.05,2,2,1,63.0,8.333
164,164,1.01,3,3,1,62.5,8.354
165,165,0.7,3,6,1,61.8,7.706
166,166,0.42,3,5,3,60.9,6.865
167,167,0.34,4,2,6,61.1,6.621
168,168,1.11,4,5,1,61.2,8.586
169,169,1.65,2,0,2,61.5,8.98
170,170,0.81,2,2,4,63.6,8.04
171,171,0.81,4,3,5,61.7,8.325
174,174,1.55,4,1,3,62.6,9.131
175,175,0.32,4,5,5,61.3,6.658
176,176,0.55,4,5,3,62.0,7.447
177,177,0.3,3,1,2,61.6,6.227
178,178,1.56,2,0,2,59.6,8.912
179,179,0.7,1,5,4,61.0,7.99
180,180,0.3,2,5,3,61.5,6.461
181,181,0.33,3,3,3,60.0,6.611
182,182,0.72,3,5,1,61.7,7.662
183,183,0.7,3,3,4,59.3,7.822
184,184,1.04,2,6,4,62.3,9.011
185,185,0.34,1,2,3,63.2,6.286
186,186,1.02,3,2,2,62.0,8.476
187,187,0.31,1,5,2,63.4,6.299
188,188,1.12,4,5,2,61.6,8.773
189,189,1.0,2,2,2,61.9,8.508
190,190,0.33,4,3,4,62.1,6.501
191,191,0.55,3,3,2,62.1,7.186
192,192,1.2,3,2,4,61.3,8.799
193,193,1.51,3,3,2,61.6,9.282
194,194,0.54,2,5,3,61.2,7.442
195,195,0.32,3,1,4,61.3,6.474
196,196,0.33,3,3,4,61.4,6.75
197,197,0.54,4,3,5,62.1,7.593
198,198,0.3,4,5,7,61.7,6.849
199,199,0.31,3,0,2,60.9,6.142
201,201,0.72,4,2,2,62.2,7.807
202,202,0.43,4,2,6,61.5,7.169
203,203,0.9,2,4,2,61.1,8.267
205,205,1.01,3,3,3,62.4,8.717
206,206,1.5,3,3,1,62.1,8.868
207,207,0.56,3,5,3,61.1,7.53
208,208,0.33,4,6,2,62.4,6.41
209,209,0.5,2,6,4,63.1,7.447
210,210,1.2,3,3,4,62.9,8.695
211,211,0.7,2,1,2,62.2,7.672
212,212,0.38,4,4,4,62.4,6.906
213,213,0.43,4,6,2,61.5,6.97
214,214,0.42,4,6,5,62.1,7.19
215,215,0.31,4,5,3,61.8,6.771
216,216,1.04,2,4,1,62.3,8.338
217,217,1.26,4,5,2,61.5,9.056
218,218,0.3,4,6,2,62.2,6.314
219,219,1.56,3,5,3,61.5,9.406
220,220,0.43,3,4,3,61.0,6.875
221,221,0.5,1,4,2,59.6,7.102
222,222,0.27,2,3,6,62.9,6.339
223,223,0.78,2,6,3,62.2,8.207
224,224,0.53,1,5,4,63.2,7.482
225,225,1.06,4,3,1,62.1,8.515
226,226,0.4,2,4,4,63.1,6.844
227,227,0.59,4,3,2,63.4,7.227
228,228,1.08,2,5,1,63.5,8.223
229,229,1.21,4,2,3,62.8,8.68
230,230,0.4,3,6,2,61.7,6.898
231,231,0.41,4,6,1,62.6,6.735
232,232,0.32,4,6,2,62.7,6.628
234,234,1.1,2,0,1,61.8,8.362
236,236,0.33,2,4,4,59.1,6.649
237,237,0.25,3,5,4,61.5,6.075
238,238,0.25,4,5,3,62.1,6.282
239,239,1.0,3,6,2,62.5,8.679
240,240,0.7,2,4,4,62.8,8.024
241,241,0.32,4,3,3,61.4,6.579
242,242,0.51,4,5,4,62.7,7.472
243,243,1.51,4,2,3,62.2,9.354
245,245,1.02,4,1,2,62.0,8.463
246,246,1.04,2,3,2,61.8,8.531
247,247,0.37,4,4,6,61.5,6.836
248,248,0.43,4,3,4,61.9,6.849
249,249,0.3,4,3,5,61.8,6.745
250,250,0.5,1,0,2,59.6,6.866
251,251,1.56,3,3,1,61.7,9.089
252,252,0.71,2,5,4,62.1,8.009
253,253,1.25,4,2,1,61.6,8.497
254,254,0.38,4,2,1,61.3,6.234
255,255,0.94,3,4,1,62.2,8.35
256,256,0.35,4,4,3,61.4,6.56
258,258,0.41,4,4,3,61.8,6.76
259,259,0.31,4,3,6,62.0,6.671
260,260,0.32,3,4,7,59.3,6.985
261,261,0.36,3,2,3,60.9,6.592
262,262,1.54,1,2,4,63.1,9.284
263,263,0.41,3,5,1,62.1,6.526
265,265,0.66,2,2,4,61.6,7.59
267,267,0.52,4,2,6,61.2,7.501
268,268,1.01,1,3,5,62.4,8.9
269,269,1.59,3,2,2,61.0,9.086
270,270,0.6,4,3,5,62.0,7.761
271,271,0.26,4,5,4,61.8,6.114
272,272,0.42,4,1,4,62.0,6.65
273,273,0.8,2,0,2,61.6,7.707
275,275,1.76,2,0,1,60.9,9.111
277,277,1.24,4,0,1,60.1,8.473
278,278,0.58,4,3,1,61.5,7.151
279,279,0.74,4,3,2,61.3,8.049
280,280,0.36,4,2,3,61.4,6.375
281,281,0.3,2,4,3,62.9,6.405
282,282,0.71,2,5,2,63.1,7.828
283,283,1.34,3,3,3,60.7,9.137
284,284,1.01,3,5,1,61.5,8.448
285,285,0.41,4,3,3,62.7,6.967
286,286,0.9,2,6,2,62.8,8.404
287,287,0.31,4,3,6,60.8,6.649
288,288,0.37,3,4,1,60.2,6.436
290,290,0.71,3,6,3,61.2,7.946
291,291,1.52,0,2,2,64.6,8.914
293,293,0.47,2,4,2,61.1,6.929
296,296,0.55,4,0,2,60.9,7.003
297,297,0.38,4,3,5,62.3,6.834
298,298,1.51,1,3,3,64.2,9.362
299,299,1.21,4,1,4,60.5,8.747
300,300,1.0,1,5,6,63.4,9.031
301,301,0.33,3,5,2,60.4,6.611
302,302,1.39,3,3,2,61.3,8.968
303,303,1.5,2,2,1,62.0,8.894
304,304,0.53,4,3,4,61.5,7.491
305,305,0.3,3,5,2,62.3,6.515
306,306,0.3,3,1,5,61.0,6.265
308,308,0.6,4,5,3,61.2,7.691
309,309,0.5,3,2,1,61.0,6.865
310,310,0.61,4,3,4,62.1,7.681
311,311,0.46,4,0,6,62.5,6.926
313,313,1.07,4,1,2,61.5,8.657
314,314,1.01,2,2,1,63.4,8.186
315,315,0.41,4,3,1,61.0,6.729
316,316,0.45,3,5,4,60.8,7.156
317,317,0.42,4,1,6,62.5,6.784
318,318,0.92,4,1,2,61.8,8.109
319,319,1.01,1,5,3,63.9,8.849
320,320,0.23,2,6,5,60.4,6.273
321,321,0.54,4,4,3,62.8,7.391
322,322,0.55,2,5,5,60.4,7.783
323,323,0.4,4,5,6,62.4,7.242
324,324,0.78,2,2,1,63.1,7.761
325,325,0.9,2,4,1,62.6,8.122
326,326,0.52,2,6,3,63.5,7.511
327,327,0.7,1,4,5,63.1,7.909
328,328,0.9,1,2,4,63.5,8.368
329,329,0.9,1,2,2,62.1,8.145
330,330,1.51,1,2,2,62.2,9.089
331,331,1.0,1,4,2,63.6,8.505
332,332,1.08,4,3,3,61.8,8.844
333,333,1.72,1,4,2,63.2,9.51
334,334,0.38,4,4,1,60.6,6.718
335,335,0.9,1,4,3,63.8,8.368
336,336,0.36,2,2,3,61.0,6.368
337,337,0.91,4,4,1,62.0,8.443
338,338,0.37,3,3,2,62.1,6.562
339,339,0.9,3,4,1,61.1,8.148
340,340,0.5,4,5,3,60.4,7.545
341,341,1.51,4,3,5,62.3,9.599
342,342,0.32,4,2,3,61.2,6.26
343,343,0.51,2,1,3,63.3,7.039
344,344,0.41,4,3,3,62.7,6.967
345,345,0.9,2,5,1,64.2,8.146
347,347,0.32,4,2,6,61.9,6.842
348,348,2.0,1,3,3,64.1,9.792
349,349,0.91,3,6,2,62.8,8.349
351,351,1.53,4,4,2,62.5,9.352
352,352,1.19,3,2,2,60.8,8.648
354,354,1.2,2,1,2,62.9,8.559
355,355,0.7,4,5,2,61.6,8.111
356,356,0.39,2,3,6,62.7,6.75
357,357,0.33,4,2,7,61.9,6.766
358,358,0.53,4,5,5,62.2,7.729
359,359,0.34,3,5,3,61.0,6.613
360,360,1.02,3,4,5,60.9,9.08
362,362,0.55,4,3,5,60.5,7.575
363,363,0.3,4,3,7,62.3,6.76
364,364,0.31,4,3,6,61.2,6.953
365,365,0.77,1,5,3,63.4,8.099
366,366,0.55,1,4,2,64.3,7.244
368,368,0.3,3,1,4,58.8,6.41
369,369,1.26,3,0,2,61.8,8.533
370,370,0.8,4,4,3,62.1,8.305
371,371,0.73,3,5,2,62.7,7.902
372,372,0.27,2,2,5,62.5,6.223
373,373,0.5,2,6,2,61.9,7.27
374,374,1.0,2,3,1,63.1,8.22
376,376,0.52,4,2,4,62.0,7.377
377,377,0.75,2,5,3,60.4,8.247
378,378,0.71,2,5,1,61.9,7.773
379,379,0.4,2,6,2,63.1,6.829
380,380,1.56,4,1,5,62.0,9.257
381,381,0.29,2,4,6,62.3,6.498
382,382,0.9,2,6,4,63.0,8.658
383,383,1.03,4,4,4,59.0,8.956
384,384,1.07,2,6,2,60.2,8.7
385,385,0.28,2,5,6,59.6,6.465
386,386,0.59,4,3,3,62.6,7.417
387,387,0.9,4,6,1,62.7,8.292
388,388,0.43,2,2,6,60.2,7.107
389,389,2.0,2,2,2,63.3,9.785
390,390,1.01,3,2,2,62.9,8.078
391,391,1.33,4,3,4,62.0,9.263
392,392,0.31,4,6,2,62.0,6.528
393,393,0.41,4,5,5,62.3,7.125
394,394,1.51,3,1,4,63.0,9.16
395,395,0.3,3,1,4,61.7,6.41
396,396,0.4,1,0,4,63.4,6.447
399,399,0.35,4,6,3,60.9,6.72
400,400,1.26,3,1,1,60.1,8.547
401,401,0.4,3,6,3,61.7,6.957
402,402,0.71,1,1,5,63.7,7.733
403,403,0.71,3,5,6,62.7,8.237
404,404,1.12,4,4,5,61.4,9.173
405,405,1.74,4,0,4,61.1,9.323
406,406,0.73,3,5,3,62.0,7.956
407,407,0.71,4,4,1,61.4,7.834
408,408,0.4,4,5,3,61.1,6.816
409,409,0.41,2,2,2,60.0,6.526
410,410,0.38,3,4,6,59.2,7.136
411,411,1.33,1,1,4,63.7,8.848
412,412,0.4,4,3,6,61.8,6.965
413,413,0.7,2,1,6,62.9,7.829
414,414,0.37,4,3,7,60.5,6.831
415,415,0.59,3,4,2,62.2,7.661
416,416,0.54,3,4,2,62.3,7.434
417,417,0.7,2,3,3,63.1,7.742
418,418,0.91,2,2,2,59.2,8.294
419,419,0.31,1,4,5,63.6,6.492
420,420,0.33,2,3,6,61.4,6.766
421,421,0.34,4,1,2,62.4,6.129
422,422,1.1,4,3,5,60.5,9.129
423,423,0.5,2,3,2,60.0,7.088
424,424,0.31,3,3,3,59.9,6.299
425,425,0.27,2,6,4,63.2,6.153
426,426,0.31,3,1,2,62.3,6.286
427,427,0.5,1,4,3,62.8,7.277
428,428,1.26,3,3,1,59.1,8.683
429,429,1.41,1,2,3,63.8,9.133
430,430,0.58,4,4,4,61.2,7.59
431,431,0.53,3,6,2,61.4,7.356
432,432,0.72,2,1,1,63.4,7.553
433,433,0.32,4,0,3,62.2,5.974
434,434,0.3,2,2,3,62.6,6.159
435,435,1.31,4,3,4,61.9,9.22
436,436,0.53,4,2,2,62.6,6.982
437,437,0.34,3,3,2,59.7,6.477
438,438,1.0,2,5,2,60.1,8.677
439,439,0.53,4,5,1,60.8,7.114
440,440,0.5,4,2,3,60.8,7.277
441,441,1.43,3,6,3,62.6,9.538
442,442,0.52,3,4,0,63.0,6.768
443,443,0.3,2,1,2,62.5,5.945
444,444,0.41,1,2,3,64.1,6.592
446,446,0.93,3,4,1,59.5,8.194
447,447,0.52,4,0,2,62.3,7.241
448,448,0.9,1,4,2,63.6,8.458
450,450,1.09,4,0,3,62.0,8.38
451,451,0.5,2,6,3,59.1,7.44
452,452,0.36,3,6,3,61.8,6.748
453,453,0.56,3,6,1,60.4,7.236
454,454,0.43,3,6,3,59.7,6.87
455,455,0.4,4,0,2,61.6,6.417
456,456,1.3,1,0,2,64.0,8.564
457,457,0.41,2,6,4,61.7,6.926
458,458,0.33,1,1,2,63.6,6.098
459,459,0.7,4,3,3,61.6,8.146
460,460,0.3,3,4,3,61.6,6.405
461,461,0.3,3,6,3,62.8,6.815
462,462,1.73,4,1,3,61.0,9.508
463,463,0.28,4,3,4,62.1,6.194
464,464,1.02,3,3,2,61.0,8.441
465,465,0.93,4,5,2,62.0,8.338
466,466,0.5,2,4,3,63.0,7.148
467,467,1.19,4,0,1,61.7,8.414
468,468,0.24,4,3,7,61.3,6.326
469,469,0.75,3,5,1,61.9,7.948
470,470,1.09,4,6,1,61.7,8.596
471,471,0.37,4,2,2,59.7,6.279
472,472,0.7,4,3,2,62.4,7.815
473,473,1.51,4,3,4,61.6,9.594
474,474,0.52,4,3,5,62.7,7.553
475,475,0.43,4,3,5,60.9,6.962
476,476,0.3,4,5,5,61.1,6.73
477,477,0.9,1,4,3,63.6,8.351
478,478,1.99,0,2,3,60.5,9.782
479,479,0.33,3,3,3,59.3,6.611
480,480,0.41,1,4,5,59.2,7.048
481,481,0.5,4,5,3,62.3,7.352
482,482,0.7,4,3,4,61.4,8.018
483,483,1.5,3,4,4,62.2,9.662
484,484,0.27,4,1,5,61.2,6.375
485,485,0.3,4,2,5,62.7,6.38
486,486,0.36,3,6,3,59.1,6.748
487,487,0.71,2,5,2,60.0,8.046
488,488,0.9,2,5,1,62.6,8.269
489,489,1.21,4,2,4,62.4,8.963
490,490,0.37,3,4,2,61.6,6.673
491,491,0.34,4,5,5,62.3,6.717
492,492,1.35,4,6,3,61.3,9.269
493,493,0.5,2,3,2,60.6,7.092
494,494,0.31,3,4,3,59.7,6.687
495,495,0.7,4,5,2,61.1,8.111
496,496,0.39,4,4,2,62.5,6.576
497,497,0.34,3,6,3,59.3,6.94
498,498,0.4,2,4,4,62.5,6.89
499,499,0.38,2,3,2,62.4,6.501
500,500,1.05,2,4,3,62.8,8.826
501,501,1.46,4,2,2,62.4,9.089
502,502,0.91,4,0,4,60.7,8.092
503,503,0.23,3,6,5,60.4,6.522
504,504,0.79,4,1,4,61.7,7.968
505,505,0.32,4,5,6,62.2,6.718
506,506,1.2,1,6,0,63.6,8.377
507,507,0.9,2,6,2,61.6,8.264
508,508,1.71,2,0,4,61.9,9.252
509,509,1.01,0,5,2,64.7,8.338
510,510,0.72,4,3,4,62.6,7.918
511,511,1.55,2,1,4,59.0,9.279
512,512,0.34,4,2,4,62.3,6.64
513,513,1.01,3,2,2,58.8,8.341
514,514,1.14,3,2,2,62.5,8.507
515,515,0.5,2,6,3,62.8,7.469
516,516,0.54,2,4,4,61.0,7.503
517,517,0.32,2,2,6,61.2,6.51
518,518,1.2,1,2,3,62.6,8.775
519,519,0.72,4,4,4,62.0,7.965
521,521,1.15,3,3,2,62.0,8.471
522,522,0.9,2,6,4,59.1,8.665
523,523,0.59,4,5,5,62.0,7.88
524,524,0.31,4,5,5,61.7,6.704
525,525,0.77,4,0,2,61.6,7.672
526,526,1.51,2,4,3,61.9,9.543
527,527,0.9,3,3,2,60.2,8.263
528,528,1.18,4,3,6,61.1,9.115
529,529,1.08,2,1,2,60.5,8.361
530,530,1.01,3,4,3,61.4,8.843
531,531,0.3,4,4,3,62.3,6.654
532,532,0.72,2,5,2,62.1,7.855
533,533,0.33,4,4,6,62.1,6.968
534,534,0.3,4,2,3,62.4,6.196
535,535,1.01,0,6,1,64.6,9.211
536,536,1.21,4,6,5,61.3,9.423
537,537,0.7,2,3,2,63.3,7.689
538,538,1.01,2,5,3,62.3,8.75
539,539,1.02,3,1,3,62.0,8.403
540,540,0.31,4,6,5,61.2,6.691
541,541,0.71,4,2,5,61.5,7.861
542,542,0.59,4,6,1,60.2,7.36
543,543,0.7,4,3,3,60.0,7.876
544,544,1.51,3,0,5,62.9,9.097
545,545,0.54,3,6,3,60.9,7.545
546,546,1.02,2,3,2,60.8,8.469
547,547,1.69,4,1,3,60.5,9.521
548,548,0.83,2,1,3,61.6,7.96
549,549,0.32,4,5,7,62.6,7.065
550,550,1.39,4,3,5,61.4,9.43
551,551,1.01,3,5,0,59.8,8.13
552,552,0.31,3,6,3,61.7,6.848
553,553,0.73,4,4,1,62.7,7.73
554,554,0.53,4,5,3,62.7,7.503
555,555,0.57,4,1,4,61.6,7.212
556,556,1.51,3,3,4,62.4,9.521
557,557,0.54,3,4,3,62.4,7.503
558,558,1.47,2,2,1,62.6,8.914
559,559,0.52,4,3,5,61.7,7.607
560,560,0.23,4,3,6,61.5,6.284
561,561,1.2,4,4,3,61.9,9.068
562,562,1.0,2,5,4,61.2,8.854
563,563,0.71,3,6,1,61.7,7.926
564,564,0.4,4,3,6,61.4,7.024
566,566,1.01,2,2,6,60.6,8.815
567,567,0.3,4,3,5,61.5,6.778
568,568,0.46,4,6,3,62.4,7.123
569,569,1.02,3,4,1,60.0,8.363
570,570,1.23,3,1,4,61.6,8.636
571,571,1.0,3,4,6,61.0,9.2
572,572,1.12,4,6,4,61.1,9.179
573,573,1.27,4,3,6,61.7,9.288
575,575,0.4,4,4,5,61.7,6.992
577,577,1.23,4,2,3,59.0,8.765
579,579,1.01,3,3,2,62.8,8.435
580,580,1.09,4,2,1,62.0,8.358
581,581,0.31,4,6,2,62.2,6.596
582,582,0.9,2,0,3,63.5,8.054
583,583,1.01,3,4,2,60.6,8.623
584,584,1.23,2,5,2,59.2,8.874
585,585,0.31,2,6,1,61.8,6.136
586,586,0.32,4,3,1,61.6,6.129
588,588,1.12,3,1,2,61.3,8.313
589,589,1.01,2,2,6,61.1,8.821
590,590,0.3,1,3,5,62.6,6.519
591,591,1.56,4,2,1,62.3,8.812
592,592,0.62,4,3,5,62.6,7.827
593,593,0.31,3,3,3,61.2,6.299
594,594,1.51,1,1,2,62.5,9.017
595,595,0.72,3,5,2,60.9,7.96
596,596,0.7,4,5,4,62.3,8.115
598,598,0.4,2,3,1,61.9,6.39
599,599,1.24,3,6,1,61.4,8.849
600,600,0.52,2,1,2,62.5,6.886
601,601,0.41,2,1,6,63.1,6.742
602,602,1.14,4,2,3,61.7,8.689
603,603,0.52,2,5,4,61.8,7.611
604,604,0.37,1,2,2,64.0,6.269
605,605,1.01,4,3,1,62.1,8.345
606,606,0.8,3,0,4,61.6,7.697
607,607,0.3,3,3,6,62.4,6.808
608,608,1.03,3,6,1,61.7,8.469
609,609,1.06,4,3,2,60.5,8.593
610,610,1.03,3,3,1,59.9,8.392
611,611,1.01,4,2,3,61.7,8.689
612,612,0.25,2,5,5,61.7,6.306
613,613,1.18,4,3,4,61.3,9.038
614,614,0.52,3,6,3,62.4,7.519
615,615,0.3,4,3,6,62.3,6.639
616,616,0.28,2,4,5,59.7,6.465
617,617,0.55,4,5,6,62.9,7.867
618,618,0.38,3,6,6,61.4,7.244
619,619,1.6,4,2,2,62.7,9.164
620,620,0.7,3,4,2,61.9,7.793
621,621,0.34,4,6,0,62.5,6.273
622,622,1.54,4,3,1,61.7,9.162
623,623,1.11,4,5,2,61.4,8.747
624,624,0.52,4,3,2,61.2,7.253
625,625,0.31,4,5,3,59.8,6.544
626,626,0.72,4,6,2,61.5,8.027
627,627,0.32,3,3,3,59.9,6.579
628,628,0.8,3,0,1,60.2,7.612
629,629,1.03,3,2,3,63.0,8.587
630,630,0.41,2,5,1,62.8,6.458
631,631,0.42,3,3,4,60.8,6.825
632,632,0.52,2,0,6,61.7,7.217
633,633,1.18,4,1,2,61.5,8.59
634,634,0.32,4,3,4,61.3,6.561
635,635,0.53,3,4,3,61.4,7.397
636,636,0.52,4,6,5,61.4,7.742
637,637,0.31,4,2,5,62.4,6.687
638,638,0.71,4,4,4,61.5,8.219
639,639,0.55,3,4,1,60.6,7.069
640,640,0.33,4,0,4,62.1,6.323
641,641,0.31,3,4,3,59.4,6.619
642,642,0.93,2,1,4,62.6,8.302
643,643,0.33,3,2,4,62.4,6.541
644,644,0.34,4,1,2,62.3,6.378
645,645,0.31,3,3,5,61.8,6.81
646,646,0.5,3,5,4,62.2,7.424
647,647,0.91,2,4,1,62.4,8.205
648,648,0.41,4,5,5,61.5,7.079
649,649,1.52,2,3,3,62.9,9.396
650,650,0.58,4,3,2,61.4,7.193
651,651,0.27,3,5,6,60.6,6.683
652,652,0.61,2,4,1,62.9,7.27
653,653,0.51,4,4,6,60.9,7.7
654,654,0.38,4,0,3,62.1,6.277
655,655,0.56,2,2,2,61.3,7.088
656,656,0.51,4,6,5,61.3,7.908
657,657,0.43,4,6,2,62.5,6.901
658,658,0.9,2,3,1,63.1,8.147
659,659,0.75,3,5,3,62.1,8.014
660,660,0.8,2,3,2,62.9,8.029
661,661,1.0,3,6,1,61.6,8.468
663,663,0.52,4,2,6,61.7,7.546
664,664,0.3,4,4,7,60.7,7.031
665,665,0.72,2,2,4,62.2,7.965
666,666,0.53,4,5,2,61.4,7.255
667,667,1.71,3,1,3,62.8,9.389
668,668,0.45,4,4,2,60.8,6.835
669,669,1.11,2,5,1,60.0,8.336
670,670,0.81,2,2,2,59.1,7.849
671,671,1.33,2,4,2,63.3,9.007
672,672,0.31,4,3,3,61.4,6.353
673,673,0.62,4,6,2,61.6,7.567
674,674,1.01,3,4,2,63.0,8.441
675,675,0.32,4,3,4,61.6,6.5
676,676,1.01,4,4,2,61.7,8.688
677,677,0.53,1,5,2,64.1,7.194
678,678,0.57,4,6,3,61.8,7.578
679,679,1.58,4,1,2,62.3,9.155
683,683,2.0,4,1,1,59.8,9.329
